#day,name,nightly,weekly,monthly
Jun-30-2014,225769,*,925,*
Jul-01-2014,225769,*,925,*
Jul-02-2014,225769,*,925,*
Jul-03-2014,225769,*,925,*
Jul-04-2014,225769,*,925,*
Jul-05-2014,225769,*,925,*
Jul-06-2014,225769,*,925,*
Jul-07-2014,225769,*,925,*
Jul-08-2014,225769,*,925,*
Jul-09-2014,225769,*,925,*
Jul-10-2014,225769,*,925,*
Jul-11-2014,225769,*,925,*
Jul-12-2014,225769,*,925,*
Jul-13-2014,225769,*,925,*
Jul-14-2014,225769,*,925,*
Jul-15-2014,225769,*,925,*
Jul-16-2014,225769,*,925,*
Jul-17-2014,225769,*,925,*
Jul-18-2014,225769,*,925,*
Jul-19-2014,225769,*,925,*
Jul-20-2014,225769,*,925,*
Jul-21-2014,225769,*,925,*
Jul-22-2014,225769,*,925,*
Jul-23-2014,225769,*,925,*
Jul-24-2014,225769,*,925,*
Jul-25-2014,225769,*,925,*
Jul-26-2014,225769,*,925,*
Jul-27-2014,225769,*,925,*
Jul-28-2014,225769,*,925,*
Jul-29-2014,225769,*,925,*
Jul-30-2014,225769,*,925,*
Jul-31-2014,225769,*,925,*
Aug-01-2014,225769,*,925,*
Aug-02-2014,225769,*,925,*
Aug-03-2014,225769,*,925,*
Aug-04-2014,225769,*,925,*
Aug-05-2014,225769,*,925,*
Aug-06-2014,225769,*,925,*
Aug-07-2014,225769,*,925,*
Aug-08-2014,225769,*,925,*
Aug-09-2014,225769,100,675,*
Aug-10-2014,225769,100,675,*
Aug-11-2014,225769,100,675,*
Aug-12-2014,225769,100,675,*
Aug-13-2014,225769,100,675,*
Aug-14-2014,225769,100,675,*
Aug-15-2014,225769,100,675,*
Aug-16-2014,225769,100,675,*
Aug-17-2014,225769,100,675,*
Aug-18-2014,225769,100,675,*
Aug-19-2014,225769,100,675,*
Aug-20-2014,225769,100,675,*
Aug-21-2014,225769,100,675,*
Aug-22-2014,225769,100,675,*
Aug-23-2014,225769,100,675,*
Aug-24-2014,225769,100,675,*
Aug-25-2014,225769,100,675,*
Aug-26-2014,225769,100,675,*
Aug-27-2014,225769,100,675,*
Aug-28-2014,225769,100,675,*
Aug-29-2014,225769,100,675,*
Aug-30-2014,225769,100,675,*
Aug-31-2014,225769,100,675,*
Sep-01-2014,225769,100,675,*
Sep-02-2014,225769,100,675,*
Sep-03-2014,225769,100,675,*
Sep-04-2014,225769,100,675,*
Sep-05-2014,225769,100,675,*
