#day,name,nightly,weekly,monthly
Jan-01-2014,344972,99,*,1200
Jan-01-2014,344972,100,*,*
Jan-02-2014,344972,99,*,1200
Jan-03-2014,344972,99,*,1200
Jan-04-2014,344972,99,*,1200
Jan-05-2014,344972,99,*,1200
Jan-06-2014,344972,99,*,1200
Jan-07-2014,344972,99,*,1200
Jan-08-2014,344972,99,*,1200
Jan-09-2014,344972,99,*,1200
Jan-10-2014,344972,99,*,1200
Jan-11-2014,344972,99,*,1200
Jan-12-2014,344972,99,*,1200
Jan-13-2014,344972,99,*,1200
Jan-14-2014,344972,99,*,1200
Jan-15-2014,344972,99,*,1200
Jan-16-2014,344972,99,*,1200
Jan-17-2014,344972,99,*,1200
Jan-18-2014,344972,99,*,1200
Jan-19-2014,344972,99,*,1200
Jan-20-2014,344972,99,*,1200
Jan-21-2014,344972,99,*,1200
Jan-22-2014,344972,99,*,1200
Jan-23-2014,344972,99,*,1200
Jan-24-2014,344972,99,*,1200
Jan-25-2014,344972,99,*,1200
Jan-26-2014,344972,99,*,1200
Jan-27-2014,344972,99,*,1200
Jan-28-2014,344972,99,*,1200
Jan-29-2014,344972,99,*,1200
Jan-30-2014,344972,99,*,1200
Jan-31-2014,344972,99,*,1200
Feb-01-2014,344972,99,*,1200
Feb-02-2014,344972,99,*,1200
Feb-03-2014,344972,99,*,1200
Feb-04-2014,344972,99,*,1200
Feb-05-2014,344972,99,*,1200
Feb-06-2014,344972,99,*,1200
Feb-07-2014,344972,99,*,1200
Feb-08-2014,344972,99,*,1200
Feb-09-2014,344972,99,*,1200
Feb-10-2014,344972,99,*,1200
Feb-11-2014,344972,99,*,1200
Feb-12-2014,344972,99,*,1200
Feb-13-2014,344972,99,*,1200
Feb-14-2014,344972,99,*,1200
Feb-15-2014,344972,99,*,1200
Feb-16-2014,344972,99,*,1200
Feb-17-2014,344972,99,*,1200
Feb-18-2014,344972,99,*,1200
Feb-19-2014,344972,99,*,1200
Feb-20-2014,344972,99,*,1200
Feb-21-2014,344972,99,*,1200
Feb-22-2014,344972,99,*,1200
Feb-23-2014,344972,99,*,1200
Feb-24-2014,344972,99,*,1200
Feb-25-2014,344972,99,*,1200
Feb-26-2014,344972,99,*,1200
Feb-27-2014,344972,99,*,1200
Feb-28-2014,344972,99,*,1200
Mar-01-2014,344972,115,*,*
Mar-02-2014,344972,115,*,*
Mar-03-2014,344972,115,*,*
Mar-04-2014,344972,115,*,*
Mar-05-2014,344972,115,*,*
Mar-06-2014,344972,115,*,*
Mar-07-2014,344972,115,*,*
Mar-08-2014,344972,115,*,*
Mar-09-2014,344972,115,*,*
Mar-10-2014,344972,115,*,*
Mar-11-2014,344972,115,*,*
Mar-12-2014,344972,115,*,*
Mar-13-2014,344972,115,*,*
Mar-14-2014,344972,115,*,*
Mar-15-2014,344972,115,*,*
Mar-16-2014,344972,115,*,*
Mar-17-2014,344972,115,*,*
Mar-18-2014,344972,115,*,*
Mar-19-2014,344972,115,*,*
Mar-20-2014,344972,115,*,*
Mar-21-2014,344972,115,*,*
Mar-22-2014,344972,115,*,*
Mar-23-2014,344972,115,*,*
Mar-24-2014,344972,115,*,*
Mar-25-2014,344972,115,*,*
Mar-26-2014,344972,115,*,*
Mar-27-2014,344972,115,*,*
Mar-28-2014,344972,115,*,*
Mar-29-2014,344972,115,*,*
Mar-30-2014,344972,115,*,*
Mar-31-2014,344972,115,*,*
Apr-01-2014,344972,115,*,*
Apr-02-2014,344972,115,*,*
Apr-03-2014,344972,115,*,*
Apr-04-2014,344972,115,*,*
Apr-05-2014,344972,115,*,*
Apr-06-2014,344972,115,*,*
Apr-07-2014,344972,115,*,*
Apr-08-2014,344972,115,*,*
Apr-09-2014,344972,115,*,*
Apr-10-2014,344972,115,*,*
Apr-11-2014,344972,115,*,*
Apr-12-2014,344972,115,*,*
Apr-13-2014,344972,115,*,*
Apr-14-2014,344972,115,*,*
Apr-15-2014,344972,115,*,*
Apr-16-2014,344972,115,*,*
Apr-17-2014,344972,115,*,*
Apr-18-2014,344972,115,*,*
Apr-19-2014,344972,115,*,*
Apr-20-2014,344972,115,*,*
Apr-21-2014,344972,115,*,*
Apr-22-2014,344972,115,*,*
Apr-23-2014,344972,115,*,*
Apr-24-2014,344972,115,*,*
Apr-25-2014,344972,115,*,*
Apr-26-2014,344972,115,*,*
Apr-27-2014,344972,115,*,*
Apr-28-2014,344972,115,*,*
Apr-29-2014,344972,115,*,*
Apr-30-2014,344972,115,*,*
May-01-2014,344972,115,*,*
May-02-2014,344972,115,*,*
May-03-2014,344972,115,*,*
May-04-2014,344972,115,*,*
May-05-2014,344972,115,*,*
May-06-2014,344972,115,*,*
May-07-2014,344972,115,*,*
May-08-2014,344972,115,*,*
May-09-2014,344972,115,*,*
May-10-2014,344972,115,*,*
