#day,name,nightly,weekly,monthly
Jan-01-2014,364543,*,*,*
Jan-02-2014,364543,*,*,*
Jan-03-2014,364543,*,*,*
Jan-04-2014,364543,*,*,*
Jan-05-2014,364543,*,*,*
Jan-06-2014,364543,*,*,*
Jan-07-2014,364543,*,*,*
Jan-08-2014,364543,*,*,*
Jan-09-2014,364543,*,*,*
Jan-10-2014,364543,*,*,*
Jan-11-2014,364543,*,*,*
Jan-12-2014,364543,*,*,*
Jan-13-2014,364543,*,*,*
Jan-14-2014,364543,*,*,*
Jan-15-2014,364543,*,*,*
Jan-16-2014,364543,*,*,*
Jan-17-2014,364543,*,*,*
Jan-18-2014,364543,*,*,*
Jan-19-2014,364543,*,*,*
Jan-20-2014,364543,*,*,*
Jan-21-2014,364543,*,*,*
Jan-22-2014,364543,*,*,*
Jan-23-2014,364543,*,*,*
Jan-24-2014,364543,*,*,*
Jan-25-2014,364543,*,*,*
Jan-26-2014,364543,*,*,*
Jan-27-2014,364543,*,*,*
Jan-28-2014,364543,*,*,*
Jan-29-2014,364543,*,*,*
Jan-30-2014,364543,*,*,*
Jan-31-2014,364543,*,*,*
Feb-01-2014,364543,*,*,*
Feb-02-2014,364543,*,*,*
Feb-03-2014,364543,*,*,*
Feb-04-2014,364543,*,*,*
Feb-05-2014,364543,*,*,*
Feb-06-2014,364543,*,*,*
Feb-07-2014,364543,*,*,*
Feb-08-2014,364543,*,*,*
Feb-09-2014,364543,*,*,*
Feb-10-2014,364543,*,*,*
Feb-11-2014,364543,*,*,*
Feb-12-2014,364543,*,*,*
Feb-13-2014,364543,*,*,*
Feb-14-2014,364543,*,*,*
Feb-15-2014,364543,*,*,*
Feb-16-2014,364543,*,*,*
Feb-17-2014,364543,*,*,*
Feb-18-2014,364543,*,*,*
Feb-19-2014,364543,*,*,*
Feb-20-2014,364543,*,*,*
Feb-21-2014,364543,*,*,*
Feb-22-2014,364543,*,*,*
Feb-23-2014,364543,*,*,*
Feb-24-2014,364543,*,*,*
Feb-25-2014,364543,*,*,*
Feb-26-2014,364543,*,*,*
Feb-27-2014,364543,*,*,*
Feb-28-2014,364543,*,*,*
Mar-01-2014,364543,*,*,*
Mar-02-2014,364543,*,*,*
Mar-03-2014,364543,*,*,*
Mar-04-2014,364543,*,*,*
Mar-05-2014,364543,*,*,*
Mar-06-2014,364543,*,*,*
Mar-07-2014,364543,*,*,*
Mar-08-2014,364543,*,*,*
Mar-09-2014,364543,*,*,*
Mar-10-2014,364543,*,*,*
Mar-11-2014,364543,*,*,*
Mar-12-2014,364543,*,*,*
Mar-13-2014,364543,*,*,*
Mar-14-2014,364543,*,*,*
Mar-15-2014,364543,*,*,*
Mar-16-2014,364543,*,*,*
Mar-17-2014,364543,*,*,*
Mar-18-2014,364543,*,*,*
Mar-19-2014,364543,*,*,*
Mar-20-2014,364543,*,*,*
Mar-21-2014,364543,*,*,*
Mar-22-2014,364543,*,*,*
Mar-23-2014,364543,*,*,*
Mar-24-2014,364543,*,*,*
Mar-25-2014,364543,*,*,*
Mar-26-2014,364543,*,*,*
Mar-27-2014,364543,*,*,*
Mar-28-2014,364543,*,*,*
Mar-29-2014,364543,*,*,*
Mar-30-2014,364543,*,*,*
Mar-31-2014,364543,*,*,*
Apr-01-2014,364543,*,*,*
Apr-02-2014,364543,*,*,*
Apr-03-2014,364543,*,*,*
Apr-04-2014,364543,*,*,*
Apr-05-2014,364543,*,*,*
Apr-06-2014,364543,*,*,*
Apr-07-2014,364543,*,*,*
Apr-08-2014,364543,*,*,*
Apr-09-2014,364543,*,*,*
Apr-10-2014,364543,*,*,*
Apr-11-2014,364543,*,*,*
Apr-12-2014,364543,*,*,*
Apr-13-2014,364543,*,*,*
Apr-14-2014,364543,*,*,*
Apr-15-2014,364543,*,*,*
Apr-16-2014,364543,*,*,*
Apr-17-2014,364543,*,*,*
Apr-18-2014,364543,*,*,*
Apr-19-2014,364543,*,*,*
Apr-20-2014,364543,*,*,*
Apr-21-2014,364543,*,*,*
Apr-22-2014,364543,*,*,*
Apr-23-2014,364543,*,*,*
Apr-24-2014,364543,*,*,*
Apr-25-2014,364543,*,*,*
Apr-26-2014,364543,*,*,*
Apr-27-2014,364543,*,*,*
Apr-28-2014,364543,*,*,*
Apr-29-2014,364543,*,*,*
Apr-30-2014,364543,*,*,*
May-01-2014,364543,*,*,*
May-02-2014,364543,*,*,*
May-03-2014,364543,*,*,*
May-04-2014,364543,*,*,*
May-05-2014,364543,*,*,*
May-06-2014,364543,*,*,*
May-07-2014,364543,*,*,*
May-08-2014,364543,*,*,*
May-09-2014,364543,*,*,*
May-10-2014,364543,*,*,*
May-11-2014,364543,*,*,*
May-12-2014,364543,*,*,*
May-13-2014,364543,*,*,*
May-14-2014,364543,*,*,*
May-15-2014,364543,*,*,*
May-16-2014,364543,*,*,*
May-17-2014,364543,*,*,*
May-18-2014,364543,*,*,*
May-19-2014,364543,*,*,*
May-20-2014,364543,*,*,*
May-21-2014,364543,*,*,*
May-22-2014,364543,*,*,*
May-23-2014,364543,150,985,*
May-24-2014,364543,150,985,*
May-25-2014,364543,150,985,*
May-26-2014,364543,150,985,*
May-27-2014,364543,150,985,*
May-28-2014,364543,150,985,*
May-29-2014,364543,150,985,*
May-30-2014,364543,150,985,*
May-31-2014,364543,150,985,*
Jun-01-2014,364543,150,985,*
Jun-02-2014,364543,150,985,*
Jun-03-2014,364543,150,985,*
Jun-04-2014,364543,150,985,*
Jun-05-2014,364543,150,985,*
Jun-06-2014,364543,150,985,*
Jun-07-2014,364543,150,985,*
Jun-08-2014,364543,150,985,*
Jun-09-2014,364543,150,985,*
Jun-10-2014,364543,150,985,*
Jun-11-2014,364543,150,985,*
Jun-12-2014,364543,150,985,*
Jun-13-2014,364543,150,985,*
Jun-14-2014,364543,150,985,*
Jun-15-2014,364543,150,985,*
Jun-16-2014,364543,150,985,*
Jun-17-2014,364543,150,985,*
Jun-18-2014,364543,150,985,*
Jun-19-2014,364543,150,985,*
Jun-20-2014,364543,150,985,*
Jun-21-2014,364543,150,985,*
Jun-22-2014,364543,150,985,*
Jun-23-2014,364543,150,985,*
Jun-24-2014,364543,150,985,*
Jun-25-2014,364543,150,985,*
Jun-26-2014,364543,150,985,*
Jun-27-2014,364543,150,985,*
Jun-28-2014,364543,170,1055,*
Jun-29-2014,364543,170,1055,*
Jun-30-2014,364543,170,1055,*
Jul-01-2014,364543,170,1055,*
Jul-02-2014,364543,170,1055,*
Jul-03-2014,364543,170,1055,*
Jul-04-2014,364543,170,1055,*
Jul-05-2014,364543,170,1055,*
Jul-06-2014,364543,170,1055,*
Jul-07-2014,364543,170,1055,*
Jul-08-2014,364543,170,1055,*
Jul-09-2014,364543,170,1055,*
Jul-10-2014,364543,170,1055,*
Jul-11-2014,364543,170,1055,*
Jul-12-2014,364543,170,1055,*
Jul-13-2014,364543,170,1055,*
Jul-14-2014,364543,170,1055,*
Jul-15-2014,364543,170,1055,*
Jul-16-2014,364543,170,1055,*
Jul-17-2014,364543,170,1055,*
Jul-18-2014,364543,170,1055,*
Jul-19-2014,364543,170,1055,*
Jul-20-2014,364543,170,1055,*
Jul-21-2014,364543,170,1055,*
Jul-22-2014,364543,170,1055,*
Jul-23-2014,364543,170,1055,*
Jul-24-2014,364543,170,1055,*
Jul-25-2014,364543,170,1055,*
Jul-26-2014,364543,150,985,*
Jul-27-2014,364543,150,985,*
Jul-28-2014,364543,150,985,*
Jul-29-2014,364543,150,985,*
Jul-30-2014,364543,150,985,*
Jul-31-2014,364543,150,985,*
Aug-01-2014,364543,150,985,*
Aug-02-2014,364543,150,985,*
Aug-03-2014,364543,150,985,*
Aug-04-2014,364543,150,985,*
Aug-05-2014,364543,150,985,*
Aug-06-2014,364543,150,985,*
Aug-07-2014,364543,150,985,*
Aug-08-2014,364543,150,985,*
Aug-09-2014,364543,125,825,*
Aug-10-2014,364543,125,825,*
Aug-11-2014,364543,125,825,*
Aug-12-2014,364543,125,825,*
Aug-13-2014,364543,125,825,*
Aug-14-2014,364543,125,825,*
Aug-15-2014,364543,125,825,*
Aug-16-2014,364543,125,825,*
Aug-17-2014,364543,125,825,*
Aug-18-2014,364543,125,825,*
Aug-19-2014,364543,125,825,*
Aug-20-2014,364543,125,825,*
Aug-21-2014,364543,125,825,*
Aug-22-2014,364543,125,825,*
Aug-23-2014,364543,125,825,*
Aug-24-2014,364543,125,825,*
Aug-25-2014,364543,125,825,*
Aug-26-2014,364543,125,825,*
Aug-27-2014,364543,125,825,*
Aug-28-2014,364543,125,825,*
Aug-29-2014,364543,125,825,*
Aug-30-2014,364543,125,825,*
Aug-31-2014,364543,125,825,*
Sep-01-2014,364543,115,700,*
Sep-02-2014,364543,115,700,*
Sep-03-2014,364543,115,700,*
Sep-04-2014,364543,115,700,*
Sep-05-2014,364543,115,700,*
Sep-06-2014,364543,115,700,*
Sep-07-2014,364543,115,700,*
Sep-08-2014,364543,115,700,*
Sep-09-2014,364543,115,700,*
Sep-10-2014,364543,115,700,*
Sep-11-2014,364543,115,700,*
Sep-12-2014,364543,115,700,*
Sep-13-2014,364543,115,700,*
Sep-14-2014,364543,115,700,*
Sep-15-2014,364543,115,700,*
Sep-16-2014,364543,115,700,*
Sep-17-2014,364543,115,700,*
Sep-18-2014,364543,115,700,*
Sep-19-2014,364543,115,700,*
Sep-20-2014,364543,115,700,*
Sep-21-2014,364543,115,700,*
Sep-22-2014,364543,115,700,*
Sep-23-2014,364543,115,700,*
Sep-24-2014,364543,115,700,*
Sep-25-2014,364543,115,700,*
Sep-26-2014,364543,115,700,*
Sep-27-2014,364543,115,700,*
Sep-28-2014,364543,115,700,*
Sep-29-2014,364543,115,700,*
Sep-30-2014,364543,115,700,*
Oct-01-2014,364543,115,700,*
Oct-02-2014,364543,115,700,*
Oct-03-2014,364543,115,700,*
Oct-04-2014,364543,115,700,*
Oct-05-2014,364543,115,700,*
Oct-06-2014,364543,115,700,*
Oct-07-2014,364543,115,700,*
Oct-08-2014,364543,115,700,*
Oct-09-2014,364543,115,700,*
Oct-10-2014,364543,115,700,*
Oct-11-2014,364543,115,700,*
Oct-12-2014,364543,115,700,*
Oct-13-2014,364543,115,700,*
Oct-14-2014,364543,115,700,*
Oct-15-2014,364543,115,700,*
