#day,name,nightly,weekly,monthly
Jan-01-2014,424161,100,*,*
Jan-02-2014,424161,*,*,*
Jan-03-2014,424161,*,*,*
Jan-04-2014,424161,*,*,*
Jan-05-2014,424161,*,*,*
Jan-06-2014,424161,*,*,*
Jan-07-2014,424161,*,*,*
Jan-08-2014,424161,*,*,*
Jan-09-2014,424161,*,*,*
Jan-10-2014,424161,*,*,*
Jan-11-2014,424161,*,*,*
Jan-12-2014,424161,*,*,*
Jan-13-2014,424161,*,*,*
Jan-14-2014,424161,*,*,*
Jan-15-2014,424161,*,*,*
Jan-16-2014,424161,*,*,*
Jan-17-2014,424161,*,*,*
Jan-18-2014,424161,*,*,*
Jan-19-2014,424161,*,*,*
Jan-20-2014,424161,*,*,*
Jan-21-2014,424161,*,*,*
Jan-22-2014,424161,*,*,*
Jan-23-2014,424161,*,*,*
Jan-24-2014,424161,*,*,*
Jan-25-2014,424161,*,*,*
Jan-26-2014,424161,*,*,*
Jan-27-2014,424161,*,*,*
Jan-28-2014,424161,*,*,*
Jan-29-2014,424161,*,*,*
Jan-30-2014,424161,*,*,*
Jan-31-2014,424161,*,*,*
Feb-01-2014,424161,*,*,*
Feb-02-2014,424161,*,*,*
Feb-03-2014,424161,*,*,*
Feb-04-2014,424161,*,*,*
Feb-05-2014,424161,*,*,*
Feb-06-2014,424161,*,*,*
Feb-07-2014,424161,*,*,*
Feb-08-2014,424161,*,*,*
Feb-09-2014,424161,*,*,*
Feb-10-2014,424161,*,*,*
Feb-11-2014,424161,*,*,*
Feb-12-2014,424161,*,*,*
Feb-13-2014,424161,*,*,*
Feb-14-2014,424161,*,*,*
Feb-15-2014,424161,*,*,*
Feb-16-2014,424161,*,*,*
Feb-17-2014,424161,*,*,*
Feb-18-2014,424161,*,*,*
Feb-19-2014,424161,*,*,*
Feb-20-2014,424161,*,*,*
Feb-21-2014,424161,*,*,*
Feb-22-2014,424161,*,*,*
Feb-23-2014,424161,*,*,*
Feb-24-2014,424161,*,*,*
Feb-25-2014,424161,*,*,*
Feb-26-2014,424161,*,*,*
Feb-27-2014,424161,*,*,*
Feb-28-2014,424161,*,*,*
Mar-01-2014,424161,*,*,*
Mar-02-2014,424161,*,*,*
Mar-03-2014,424161,*,*,*
Mar-04-2014,424161,*,*,*
Mar-05-2014,424161,*,*,*
Mar-06-2014,424161,*,*,*
Mar-07-2014,424161,*,*,*
Mar-08-2014,424161,*,*,*
Mar-09-2014,424161,*,*,*
Mar-10-2014,424161,*,*,*
Mar-11-2014,424161,*,*,*
Mar-12-2014,424161,*,*,*
Mar-13-2014,424161,*,*,*
Mar-14-2014,424161,*,*,*
Mar-15-2014,424161,*,*,*
Mar-16-2014,424161,*,*,*
Mar-17-2014,424161,*,*,*
Mar-18-2014,424161,*,*,*
Mar-19-2014,424161,*,*,*
Mar-20-2014,424161,*,*,*
Mar-21-2014,424161,*,*,*
Mar-22-2014,424161,*,*,*
Mar-23-2014,424161,*,*,*
Mar-24-2014,424161,*,*,*
Mar-25-2014,424161,*,*,*
Mar-26-2014,424161,*,*,*
Mar-27-2014,424161,*,*,*
Mar-28-2014,424161,*,*,*
Mar-29-2014,424161,*,*,*
Mar-30-2014,424161,*,*,*
Mar-31-2014,424161,*,*,*
Apr-01-2014,424161,*,*,*
Apr-02-2014,424161,*,*,*
Apr-03-2014,424161,*,*,*
Apr-04-2014,424161,*,*,*
Apr-05-2014,424161,*,*,*
Apr-06-2014,424161,*,*,*
Apr-07-2014,424161,*,*,*
Apr-08-2014,424161,*,*,*
Apr-09-2014,424161,*,*,*
Apr-10-2014,424161,*,*,*
Apr-11-2014,424161,*,*,*
Apr-12-2014,424161,*,*,*
Apr-13-2014,424161,*,*,*
Apr-14-2014,424161,*,*,*
Apr-15-2014,424161,*,*,*
Apr-16-2014,424161,*,*,*
Apr-17-2014,424161,*,*,*
Apr-18-2014,424161,*,*,*
Apr-19-2014,424161,*,*,*
Apr-20-2014,424161,*,*,*
Apr-21-2014,424161,*,*,*
Apr-22-2014,424161,*,*,*
Apr-23-2014,424161,*,*,*
Apr-24-2014,424161,*,*,*
Apr-25-2014,424161,*,*,*
Apr-26-2014,424161,*,*,*
Apr-27-2014,424161,*,*,*
Apr-28-2014,424161,*,*,*
Apr-29-2014,424161,*,*,*
Apr-30-2014,424161,*,*,*
May-01-2014,424161,*,*,*
May-02-2014,424161,*,*,*
May-03-2014,424161,*,*,*
May-04-2014,424161,*,*,*
May-05-2014,424161,*,*,*
May-06-2014,424161,*,*,*
May-07-2014,424161,*,*,*
May-08-2014,424161,*,*,*
May-09-2014,424161,*,*,*
May-10-2014,424161,*,*,*
May-11-2014,424161,*,*,*
May-12-2014,424161,*,*,*
May-13-2014,424161,*,*,*
May-14-2014,424161,*,*,*
May-15-2014,424161,*,*,*
May-16-2014,424161,*,*,*
May-17-2014,424161,*,*,*
May-18-2014,424161,150,1000,*
May-19-2014,424161,150,1000,*
May-20-2014,424161,150,1000,*
May-21-2014,424161,150,1000,*
May-22-2014,424161,150,1000,*
May-23-2014,424161,150,1000,*
May-24-2014,424161,150,1000,*
May-25-2014,424161,150,1000,*
May-26-2014,424161,150,1000,*
May-27-2014,424161,150,1000,*
May-28-2014,424161,150,1000,*
May-29-2014,424161,150,1000,*
May-30-2014,424161,150,1000,*
May-31-2014,424161,150,1000,*
Jun-01-2014,424161,150,1000,*
Jun-02-2014,424161,150,1000,*
Jun-03-2014,424161,150,1000,*
Jun-04-2014,424161,150,1000,*
Jun-05-2014,424161,150,1000,*
Jun-06-2014,424161,150,1000,*
Jun-07-2014,424161,150,1000,*
Jun-08-2014,424161,150,1000,*
Jun-09-2014,424161,150,1000,*
Jun-10-2014,424161,150,1000,*
Jun-11-2014,424161,150,1000,*
Jun-12-2014,424161,150,1000,*
Jun-13-2014,424161,150,1000,*
Jun-14-2014,424161,150,1000,*
Jun-15-2014,424161,150,1000,*
Jun-16-2014,424161,150,1000,*
Jun-17-2014,424161,150,1000,*
Jun-18-2014,424161,150,1000,*
Jun-19-2014,424161,150,1000,*
Jun-20-2014,424161,150,1000,*
Jun-21-2014,424161,150,1000,*
Jun-22-2014,424161,150,1000,*
Jun-23-2014,424161,150,1000,*
Jun-24-2014,424161,150,1000,*
Jun-25-2014,424161,150,1000,*
Jun-26-2014,424161,150,1000,*
Jun-27-2014,424161,150,1000,*
Jun-28-2014,424161,150,1000,*
Jun-29-2014,424161,150,1000,*
Jun-30-2014,424161,150,1000,*
Jul-01-2014,424161,150,1000,*
Jul-02-2014,424161,150,1000,*
Jul-03-2014,424161,150,1000,*
Jul-04-2014,424161,150,1000,*
Jul-05-2014,424161,150,1000,*
Jul-06-2014,424161,150,1000,*
Jul-07-2014,424161,150,1000,*
Jul-08-2014,424161,150,1000,*
Jul-09-2014,424161,150,1000,*
Jul-10-2014,424161,150,1000,*
Jul-11-2014,424161,150,1000,*
Jul-12-2014,424161,150,1000,*
Jul-13-2014,424161,150,1000,*
Jul-14-2014,424161,150,1000,*
Jul-15-2014,424161,150,1000,*
Jul-16-2014,424161,150,1000,*
Jul-17-2014,424161,150,1000,*
Jul-18-2014,424161,150,1000,*
Jul-19-2014,424161,150,1000,*
Jul-20-2014,424161,150,1000,*
Jul-21-2014,424161,150,1000,*
Jul-22-2014,424161,150,1000,*
Jul-23-2014,424161,150,1000,*
Jul-24-2014,424161,150,1000,*
Jul-25-2014,424161,150,1000,*
Jul-26-2014,424161,150,1000,*
Jul-27-2014,424161,150,1000,*
Jul-28-2014,424161,150,1000,*
Jul-29-2014,424161,150,1000,*
Jul-30-2014,424161,150,1000,*
Jul-31-2014,424161,150,1000,*
Aug-01-2014,424161,150,1000,*
Aug-02-2014,424161,150,1000,*
Aug-03-2014,424161,150,1000,*
Aug-04-2014,424161,150,1000,*
Aug-05-2014,424161,150,1000,*
Aug-06-2014,424161,150,1000,*
Aug-07-2014,424161,150,1000,*
Aug-08-2014,424161,150,1000,*
Aug-09-2014,424161,150,1000,*
Aug-10-2014,424161,150,1000,*
Aug-11-2014,424161,150,1000,*
Aug-12-2014,424161,150,1000,*
Aug-13-2014,424161,150,1000,*
Aug-14-2014,424161,150,1000,*
Aug-15-2014,424161,150,1000,*
Aug-16-2014,424161,150,1000,*
Aug-17-2014,424161,150,1000,*
