#day,name,nightly,weekly,monthly
Jan-01-2014,424099,75,350,780
Jan-01-2014,424099,150,*,*
Jan-02-2014,424099,75,350,780
Jan-03-2014,424099,75,350,780
Jan-04-2014,424099,75,350,780
Jan-05-2014,424099,75,350,780
Jan-06-2014,424099,75,350,780
Jan-07-2014,424099,75,350,780
Jan-08-2014,424099,75,350,780
Jan-09-2014,424099,75,350,780
Jan-10-2014,424099,75,350,780
Jan-11-2014,424099,75,350,780
Jan-12-2014,424099,75,350,780
Jan-13-2014,424099,75,350,780
Jan-14-2014,424099,75,350,780
Jan-15-2014,424099,75,350,780
Jan-16-2014,424099,75,350,780
Jan-17-2014,424099,75,350,780
Jan-18-2014,424099,75,350,780
Jan-19-2014,424099,75,350,780
Jan-20-2014,424099,75,350,780
Jan-21-2014,424099,75,350,780
Jan-22-2014,424099,75,350,780
Jan-23-2014,424099,75,350,780
Jan-24-2014,424099,75,350,780
Jan-25-2014,424099,75,350,780
Jan-26-2014,424099,75,350,780
Jan-27-2014,424099,75,350,780
Jan-28-2014,424099,75,350,780
Jan-29-2014,424099,75,350,780
Jan-30-2014,424099,75,350,780
Jan-31-2014,424099,75,350,780
Feb-01-2014,424099,75,350,780
Feb-02-2014,424099,75,350,780
Feb-03-2014,424099,75,350,780
Feb-04-2014,424099,75,350,780
Feb-05-2014,424099,75,350,780
Feb-06-2014,424099,75,350,780
Feb-07-2014,424099,75,350,780
Feb-08-2014,424099,75,350,780
Feb-09-2014,424099,75,350,780
Feb-10-2014,424099,75,350,780
Feb-11-2014,424099,75,350,780
Feb-12-2014,424099,75,350,780
Feb-13-2014,424099,75,350,780
Feb-14-2014,424099,75,350,780
Feb-15-2014,424099,75,350,780
Feb-16-2014,424099,75,350,780
Feb-17-2014,424099,75,350,780
Feb-18-2014,424099,75,350,780
Feb-19-2014,424099,75,350,780
Feb-20-2014,424099,75,350,780
Feb-21-2014,424099,75,350,780
Feb-22-2014,424099,75,350,780
Feb-23-2014,424099,75,350,780
Feb-24-2014,424099,75,350,780
Feb-25-2014,424099,75,350,780
Feb-26-2014,424099,75,350,780
Feb-27-2014,424099,75,350,780
Feb-28-2014,424099,75,350,780
Mar-01-2014,424099,100,630,*
Mar-02-2014,424099,100,630,*
Mar-03-2014,424099,100,630,*
Mar-04-2014,424099,100,630,*
Mar-05-2014,424099,100,630,*
Mar-06-2014,424099,100,630,*
Mar-07-2014,424099,100,630,*
Mar-08-2014,424099,100,630,*
Mar-09-2014,424099,100,630,*
Mar-10-2014,424099,100,630,*
Mar-11-2014,424099,100,630,*
Mar-12-2014,424099,100,630,*
Mar-13-2014,424099,100,630,*
Mar-14-2014,424099,100,630,*
Mar-15-2014,424099,100,630,*
Mar-16-2014,424099,100,630,*
Mar-17-2014,424099,100,630,*
Mar-18-2014,424099,100,630,*
Mar-19-2014,424099,100,630,*
Mar-20-2014,424099,100,630,*
Mar-21-2014,424099,100,630,*
Mar-22-2014,424099,100,630,*
Mar-23-2014,424099,100,630,*
Mar-24-2014,424099,100,630,*
Mar-25-2014,424099,100,630,*
Mar-26-2014,424099,100,630,*
Mar-27-2014,424099,100,630,*
Mar-28-2014,424099,100,630,*
Mar-29-2014,424099,100,630,*
Mar-30-2014,424099,100,630,*
Mar-31-2014,424099,100,630,*
Apr-01-2014,424099,100,630,*
Apr-02-2014,424099,100,630,*
Apr-03-2014,424099,100,630,*
Apr-04-2014,424099,100,630,*
Apr-05-2014,424099,100,630,*
Apr-06-2014,424099,100,630,*
Apr-07-2014,424099,100,630,*
Apr-08-2014,424099,100,630,*
Apr-09-2014,424099,100,630,*
Apr-10-2014,424099,100,630,*
Apr-11-2014,424099,100,630,*
Apr-12-2014,424099,100,630,*
Apr-13-2014,424099,100,630,*
Apr-14-2014,424099,100,630,*
Apr-15-2014,424099,100,630,*
Apr-16-2014,424099,100,630,*
Apr-17-2014,424099,100,630,*
Apr-18-2014,424099,100,630,*
Apr-19-2014,424099,100,630,*
Apr-20-2014,424099,100,630,*
Apr-21-2014,424099,100,630,*
Apr-22-2014,424099,100,630,*
Apr-23-2014,424099,100,630,*
Apr-24-2014,424099,100,630,*
Apr-25-2014,424099,100,630,*
Apr-26-2014,424099,100,630,*
Apr-27-2014,424099,100,630,*
Apr-28-2014,424099,100,630,*
Apr-29-2014,424099,100,630,*
Apr-30-2014,424099,100,630,*
May-01-2014,424099,100,630,*
May-02-2014,424099,100,630,*
May-03-2014,424099,100,630,*
May-04-2014,424099,100,630,*
May-05-2014,424099,100,630,*
May-06-2014,424099,100,630,*
May-07-2014,424099,100,630,*
May-08-2014,424099,100,630,*
May-09-2014,424099,100,630,*
May-10-2014,424099,100,630,*
May-11-2014,424099,100,630,*
May-12-2014,424099,100,630,*
May-13-2014,424099,100,630,*
May-14-2014,424099,100,630,*
May-15-2014,424099,100,630,*
May-16-2014,424099,100,630,*
May-17-2014,424099,100,630,*
May-18-2014,424099,100,630,*
May-19-2014,424099,100,630,*
May-20-2014,424099,100,630,*
May-21-2014,424099,100,630,*
May-22-2014,424099,100,630,*
May-23-2014,424099,100,630,*
May-24-2014,424099,100,630,*
May-25-2014,424099,100,630,*
May-26-2014,424099,100,630,*
May-27-2014,424099,100,630,*
May-28-2014,424099,100,630,*
May-29-2014,424099,100,630,*
May-30-2014,424099,100,630,*
May-31-2014,424099,100,630,*
Jun-01-2014,424099,150,980,*
Jun-02-2014,424099,150,980,*
Jun-03-2014,424099,150,980,*
Jun-04-2014,424099,150,980,*
Jun-05-2014,424099,150,980,*
Jun-06-2014,424099,150,980,*
Jun-07-2014,424099,150,980,*
Jun-08-2014,424099,150,980,*
Jun-09-2014,424099,150,980,*
Jun-10-2014,424099,150,980,*
Jun-11-2014,424099,150,980,*
Jun-12-2014,424099,150,980,*
Jun-13-2014,424099,150,980,*
Jun-14-2014,424099,150,980,*
Jun-15-2014,424099,150,980,*
Jun-16-2014,424099,150,980,*
Jun-17-2014,424099,150,980,*
Jun-18-2014,424099,150,980,*
Jun-19-2014,424099,150,980,*
Jun-20-2014,424099,150,980,*
Jun-21-2014,424099,150,980,*
Jun-22-2014,424099,150,980,*
Jun-23-2014,424099,150,980,*
Jun-24-2014,424099,150,980,*
Jun-25-2014,424099,150,980,*
Jun-26-2014,424099,150,980,*
Jun-27-2014,424099,150,980,*
Jun-28-2014,424099,150,980,*
Jun-29-2014,424099,150,980,*
Jun-30-2014,424099,150,980,*
Jul-01-2014,424099,150,980,*
Jul-02-2014,424099,150,980,*
Jul-03-2014,424099,150,980,*
Jul-04-2014,424099,150,980,*
Jul-05-2014,424099,150,980,*
Jul-06-2014,424099,150,980,*
Jul-07-2014,424099,150,980,*
Jul-08-2014,424099,150,980,*
Jul-09-2014,424099,150,980,*
Jul-10-2014,424099,150,980,*
Jul-11-2014,424099,150,980,*
Jul-12-2014,424099,150,980,*
Jul-13-2014,424099,150,980,*
Jul-14-2014,424099,150,980,*
Jul-15-2014,424099,150,980,*
Jul-16-2014,424099,150,980,*
Jul-17-2014,424099,150,980,*
Jul-18-2014,424099,150,980,*
Jul-19-2014,424099,150,980,*
Jul-20-2014,424099,150,980,*
Jul-21-2014,424099,150,980,*
Jul-22-2014,424099,150,980,*
Jul-23-2014,424099,150,980,*
Jul-24-2014,424099,150,980,*
Jul-25-2014,424099,150,980,*
Jul-26-2014,424099,150,980,*
Jul-27-2014,424099,150,980,*
Jul-28-2014,424099,150,980,*
Jul-29-2014,424099,150,980,*
Jul-30-2014,424099,150,980,*
Jul-31-2014,424099,150,980,*
Aug-01-2014,424099,150,980,*
Aug-02-2014,424099,150,980,*
Aug-03-2014,424099,150,980,*
Aug-04-2014,424099,150,980,*
Aug-05-2014,424099,150,980,*
Aug-06-2014,424099,150,980,*
Aug-07-2014,424099,150,980,*
Aug-08-2014,424099,150,980,*
Aug-09-2014,424099,150,980,*
Aug-10-2014,424099,150,980,*
Aug-11-2014,424099,150,980,*
Aug-12-2014,424099,150,980,*
Aug-13-2014,424099,150,980,*
Aug-14-2014,424099,150,980,*
Aug-15-2014,424099,150,980,*
Aug-16-2014,424099,150,980,*
Aug-17-2014,424099,150,980,*
Aug-18-2014,424099,150,980,*
Aug-19-2014,424099,150,980,*
Aug-20-2014,424099,150,980,*
Aug-21-2014,424099,150,980,*
Aug-22-2014,424099,150,980,*
Aug-23-2014,424099,150,980,*
Aug-24-2014,424099,150,980,*
Aug-25-2014,424099,150,980,*
Aug-26-2014,424099,150,980,*
Aug-27-2014,424099,150,980,*
Aug-28-2014,424099,150,980,*
Aug-29-2014,424099,150,980,*
Aug-30-2014,424099,150,980,*
Aug-31-2014,424099,150,980,*
Sep-01-2014,424099,125,770,*
Sep-02-2014,424099,125,770,*
Sep-03-2014,424099,125,770,*
Sep-04-2014,424099,125,770,*
Sep-05-2014,424099,125,770,*
Sep-06-2014,424099,125,770,*
Sep-07-2014,424099,125,770,*
Sep-08-2014,424099,125,770,*
Sep-09-2014,424099,125,770,*
Sep-10-2014,424099,125,770,*
Sep-11-2014,424099,125,770,*
Sep-12-2014,424099,125,770,*
Sep-13-2014,424099,125,770,*
