#day,name,nightly,weekly,monthly
Jan-01-2014,369723,*,*,*
Jan-02-2014,369723,*,*,*
Jan-03-2014,369723,*,*,*
Jan-04-2014,369723,*,*,*
Jan-05-2014,369723,*,*,*
Jan-06-2014,369723,*,*,*
Jan-07-2014,369723,*,*,*
Jan-08-2014,369723,*,*,*
Jan-09-2014,369723,*,*,*
Jan-10-2014,369723,*,*,*
Jan-11-2014,369723,*,*,*
Jan-12-2014,369723,*,*,*
Jan-13-2014,369723,*,*,*
Jan-14-2014,369723,*,*,*
Jan-15-2014,369723,*,*,*
Jan-16-2014,369723,*,*,*
Jan-17-2014,369723,*,*,*
Jan-18-2014,369723,*,*,*
Jan-19-2014,369723,*,*,*
Jan-20-2014,369723,*,*,*
Jan-21-2014,369723,*,*,*
Jan-22-2014,369723,*,*,*
Jan-23-2014,369723,*,*,*
Jan-24-2014,369723,*,*,*
Jan-25-2014,369723,*,*,*
Jan-26-2014,369723,*,*,*
Jan-27-2014,369723,*,*,*
Jan-28-2014,369723,*,*,*
Jan-29-2014,369723,*,*,*
Jan-30-2014,369723,*,*,*
Jan-31-2014,369723,*,*,*
Feb-01-2014,369723,*,*,*
Feb-02-2014,369723,*,*,*
Feb-03-2014,369723,*,*,*
Feb-04-2014,369723,*,*,*
Feb-05-2014,369723,*,*,*
Feb-06-2014,369723,*,*,*
Feb-07-2014,369723,*,*,*
Feb-08-2014,369723,*,*,*
Feb-09-2014,369723,*,*,*
Feb-10-2014,369723,*,*,*
Feb-11-2014,369723,*,*,*
Feb-12-2014,369723,*,*,*
Feb-13-2014,369723,*,*,*
Feb-14-2014,369723,*,*,*
Feb-15-2014,369723,*,*,*
Feb-16-2014,369723,*,*,*
Feb-17-2014,369723,*,*,*
Feb-18-2014,369723,*,*,*
Feb-19-2014,369723,*,*,*
Feb-20-2014,369723,*,*,*
Feb-21-2014,369723,*,*,*
Feb-22-2014,369723,*,*,*
Feb-23-2014,369723,*,*,*
Feb-24-2014,369723,*,*,*
Feb-25-2014,369723,*,*,*
Feb-26-2014,369723,*,*,*
Feb-27-2014,369723,*,*,*
Feb-28-2014,369723,*,*,*
Mar-01-2014,369723,*,*,*
Mar-02-2014,369723,*,*,*
Mar-03-2014,369723,*,*,*
Mar-04-2014,369723,*,*,*
Mar-05-2014,369723,*,*,*
Mar-06-2014,369723,*,*,*
Mar-07-2014,369723,*,*,*
Mar-08-2014,369723,*,*,*
Mar-09-2014,369723,*,*,*
Mar-10-2014,369723,*,*,*
Mar-11-2014,369723,*,*,*
Mar-12-2014,369723,*,*,*
Mar-13-2014,369723,*,*,*
Mar-14-2014,369723,*,*,*
Mar-15-2014,369723,*,*,*
Mar-16-2014,369723,*,*,*
Mar-17-2014,369723,*,*,*
Mar-18-2014,369723,*,*,*
Mar-19-2014,369723,*,*,*
Mar-20-2014,369723,*,*,*
Mar-21-2014,369723,*,*,*
Mar-22-2014,369723,*,*,*
Mar-23-2014,369723,*,*,*
Mar-24-2014,369723,*,*,*
Mar-25-2014,369723,*,*,*
Mar-26-2014,369723,*,*,*
Mar-27-2014,369723,*,*,*
Mar-28-2014,369723,*,*,*
Mar-29-2014,369723,*,*,*
Mar-30-2014,369723,*,*,*
Mar-31-2014,369723,*,*,*
Apr-01-2014,369723,*,*,*
Apr-02-2014,369723,*,*,*
Apr-03-2014,369723,*,*,*
Apr-04-2014,369723,*,*,*
Apr-05-2014,369723,*,*,*
Apr-06-2014,369723,*,*,*
Apr-07-2014,369723,*,*,*
Apr-08-2014,369723,*,*,*
Apr-09-2014,369723,*,*,*
Apr-10-2014,369723,*,*,*
Apr-11-2014,369723,*,*,*
Apr-12-2014,369723,*,*,*
Apr-13-2014,369723,*,*,*
Apr-14-2014,369723,*,*,*
Apr-15-2014,369723,*,*,*
Apr-16-2014,369723,*,*,*
Apr-17-2014,369723,*,*,*
Apr-18-2014,369723,*,*,*
Apr-19-2014,369723,*,*,*
Apr-20-2014,369723,*,*,*
Apr-21-2014,369723,*,*,*
Apr-22-2014,369723,*,*,*
Apr-23-2014,369723,*,*,*
Apr-24-2014,369723,*,*,*
Apr-25-2014,369723,*,*,*
Apr-26-2014,369723,*,*,*
Apr-27-2014,369723,*,*,*
Apr-28-2014,369723,*,*,*
Apr-29-2014,369723,*,*,*
Apr-30-2014,369723,*,*,*
May-01-2014,369723,*,*,*
May-02-2014,369723,*,*,*
May-03-2014,369723,*,*,*
May-04-2014,369723,*,*,*
May-05-2014,369723,*,*,*
May-06-2014,369723,*,*,*
May-07-2014,369723,*,*,*
May-08-2014,369723,*,*,*
May-09-2014,369723,*,*,*
May-10-2014,369723,*,*,*
May-11-2014,369723,*,*,*
May-12-2014,369723,*,*,*
May-13-2014,369723,*,*,*
May-14-2014,369723,*,*,*
May-15-2014,369723,*,*,*
May-16-2014,369723,*,*,*
May-17-2014,369723,*,950,*
May-18-2014,369723,*,950,*
May-19-2014,369723,*,950,*
May-20-2014,369723,*,950,*
May-21-2014,369723,*,950,*
May-22-2014,369723,*,950,*
May-23-2014,369723,*,950,*
May-24-2014,369723,*,950,*
May-25-2014,369723,*,950,*
May-26-2014,369723,*,950,*
May-27-2014,369723,*,950,*
May-28-2014,369723,*,950,*
May-29-2014,369723,*,950,*
May-30-2014,369723,*,950,*
May-31-2014,369723,*,950,*
Jun-01-2014,369723,*,950,*
Jun-02-2014,369723,*,950,*
Jun-03-2014,369723,*,950,*
Jun-04-2014,369723,*,950,*
Jun-05-2014,369723,*,950,*
Jun-06-2014,369723,*,950,*
Jun-07-2014,369723,*,950,*
Jun-08-2014,369723,*,950,*
Jun-09-2014,369723,*,950,*
Jun-10-2014,369723,*,950,*
Jun-11-2014,369723,*,950,*
Jun-12-2014,369723,*,950,*
Jun-13-2014,369723,*,950,*
