#day,name,nightly,weekly,monthly
Jan-01-2014,500096,99,500,*
Jan-02-2014,500096,*,*,*
Jan-03-2014,500096,*,*,*
Jan-04-2014,500096,*,*,*
Jan-05-2014,500096,*,*,*
Jan-06-2014,500096,*,*,*
Jan-07-2014,500096,*,*,*
Jan-08-2014,500096,*,*,*
Jan-09-2014,500096,*,*,*
Jan-10-2014,500096,*,*,*
Jan-11-2014,500096,*,*,*
Jan-12-2014,500096,*,*,*
Jan-13-2014,500096,*,*,*
Jan-14-2014,500096,*,*,*
Jan-15-2014,500096,*,*,*
Jan-16-2014,500096,*,*,*
Jan-17-2014,500096,*,*,*
Jan-18-2014,500096,*,*,*
Jan-19-2014,500096,*,*,*
Jan-20-2014,500096,*,*,*
Jan-21-2014,500096,*,*,*
Jan-22-2014,500096,*,*,*
Jan-23-2014,500096,*,*,*
Jan-24-2014,500096,*,*,*
Jan-25-2014,500096,*,*,*
Jan-26-2014,500096,*,*,*
Jan-27-2014,500096,*,*,*
Jan-28-2014,500096,*,*,*
Jan-29-2014,500096,*,*,*
Jan-30-2014,500096,*,*,*
Jan-31-2014,500096,*,*,*
Feb-01-2014,500096,*,*,*
Feb-02-2014,500096,*,*,*
Feb-03-2014,500096,*,*,*
Feb-04-2014,500096,*,*,*
Feb-05-2014,500096,*,*,*
Feb-06-2014,500096,*,*,*
Feb-07-2014,500096,*,*,*
Feb-08-2014,500096,*,*,*
Feb-09-2014,500096,*,*,*
Feb-10-2014,500096,*,*,*
Feb-11-2014,500096,*,*,*
Feb-12-2014,500096,*,*,*
Feb-13-2014,500096,*,*,*
Feb-14-2014,500096,*,*,*
Feb-15-2014,500096,*,*,*
Feb-16-2014,500096,*,*,*
Feb-17-2014,500096,*,*,*
Feb-18-2014,500096,*,*,*
Feb-19-2014,500096,*,*,*
Feb-20-2014,500096,*,*,*
Feb-21-2014,500096,*,*,*
Feb-22-2014,500096,*,*,*
Feb-23-2014,500096,*,*,*
Feb-24-2014,500096,*,*,*
Feb-25-2014,500096,*,*,*
Feb-26-2014,500096,*,*,*
Feb-27-2014,500096,*,*,*
Feb-28-2014,500096,*,*,*
Mar-01-2014,500096,*,*,*
Mar-02-2014,500096,*,*,*
Mar-03-2014,500096,*,*,*
Mar-04-2014,500096,*,*,*
Mar-05-2014,500096,*,*,*
Mar-06-2014,500096,*,*,*
Mar-07-2014,500096,*,*,*
Mar-08-2014,500096,*,*,*
Mar-09-2014,500096,*,*,*
Mar-10-2014,500096,*,*,*
Mar-11-2014,500096,*,*,*
Mar-12-2014,500096,*,*,*
Mar-13-2014,500096,*,*,*
Mar-14-2014,500096,*,*,*
Mar-15-2014,500096,*,*,*
Mar-16-2014,500096,*,*,*
Mar-17-2014,500096,*,*,*
Mar-18-2014,500096,*,*,*
Mar-19-2014,500096,*,*,*
Mar-20-2014,500096,*,*,*
Mar-21-2014,500096,*,*,*
Mar-22-2014,500096,*,*,*
Mar-23-2014,500096,*,*,*
Mar-24-2014,500096,*,*,*
Mar-25-2014,500096,*,*,*
Mar-26-2014,500096,*,*,*
Mar-27-2014,500096,*,*,*
Mar-28-2014,500096,*,*,*
Mar-29-2014,500096,*,*,*
Mar-30-2014,500096,*,*,*
Mar-31-2014,500096,*,*,*
Apr-01-2014,500096,*,*,*
Apr-02-2014,500096,*,*,*
Apr-03-2014,500096,*,*,*
Apr-04-2014,500096,*,*,*
Apr-05-2014,500096,*,*,*
Apr-06-2014,500096,*,*,*
Apr-07-2014,500096,*,*,*
Apr-08-2014,500096,*,*,*
Apr-09-2014,500096,*,*,*
Apr-10-2014,500096,*,*,*
Apr-11-2014,500096,*,*,*
Apr-12-2014,500096,*,*,*
Apr-13-2014,500096,*,*,*
Apr-14-2014,500096,*,*,*
Apr-15-2014,500096,*,*,*
Apr-16-2014,500096,*,*,*
Apr-17-2014,500096,*,*,*
Apr-18-2014,500096,*,*,*
Apr-19-2014,500096,*,*,*
Apr-20-2014,500096,*,*,*
Apr-21-2014,500096,*,*,*
Apr-22-2014,500096,*,*,*
Apr-23-2014,500096,*,*,*
Apr-24-2014,500096,*,*,*
Apr-25-2014,500096,*,*,*
Apr-26-2014,500096,*,*,*
Apr-27-2014,500096,*,*,*
Apr-28-2014,500096,*,*,*
Apr-29-2014,500096,*,*,*
Apr-30-2014,500096,*,*,*
May-01-2014,500096,*,*,*
May-02-2014,500096,*,*,*
May-03-2014,500096,*,*,*
May-04-2014,500096,*,*,*
May-05-2014,500096,*,*,*
May-06-2014,500096,*,*,*
May-07-2014,500096,*,*,*
May-08-2014,500096,*,*,*
May-09-2014,500096,*,*,*
May-10-2014,500096,*,*,*
May-11-2014,500096,*,*,*
May-12-2014,500096,*,*,*
May-13-2014,500096,*,*,*
May-14-2014,500096,*,*,*
May-15-2014,500096,*,*,*
May-16-2014,500096,*,*,*
May-17-2014,500096,*,*,*
May-18-2014,500096,*,*,*
May-19-2014,500096,*,*,*
May-20-2014,500096,*,*,*
May-21-2014,500096,*,*,*
May-22-2014,500096,*,*,*
May-23-2014,500096,*,*,*
May-24-2014,500096,*,*,*
May-25-2014,500096,*,*,*
May-26-2014,500096,*,*,*
May-27-2014,500096,*,*,*
May-28-2014,500096,*,*,*
May-29-2014,500096,*,*,*
May-30-2014,500096,*,*,*
May-31-2014,500096,*,*,*
Jun-01-2014,500096,*,*,*
Jun-02-2014,500096,*,*,*
Jun-03-2014,500096,*,*,*
Jun-04-2014,500096,*,*,*
Jun-05-2014,500096,*,*,*
Jun-06-2014,500096,*,*,*
Jun-07-2014,500096,*,*,*
Jun-08-2014,500096,*,*,*
Jun-09-2014,500096,*,*,*
Jun-10-2014,500096,*,*,*
Jun-11-2014,500096,*,*,*
Jun-12-2014,500096,*,*,*
Jun-13-2014,500096,*,*,*
Jun-14-2014,500096,165,985,*
Jun-15-2014,500096,165,985,*
Jun-16-2014,500096,165,985,*
Jun-17-2014,500096,165,985,*
Jun-18-2014,500096,165,985,*
Jun-19-2014,500096,165,985,*
Jun-20-2014,500096,165,985,*
Jun-21-2014,500096,165,985,*
Jun-22-2014,500096,165,985,*
Jun-23-2014,500096,165,985,*
Jun-24-2014,500096,165,985,*
Jun-25-2014,500096,165,985,*
Jun-26-2014,500096,165,985,*
Jun-27-2014,500096,165,985,*
Jun-28-2014,500096,165,985,*
Jun-29-2014,500096,165,985,*
Jun-30-2014,500096,165,985,*
Jul-01-2014,500096,165,985,*
Jul-02-2014,500096,165,985,*
Jul-03-2014,500096,165,985,*
Jul-04-2014,500096,165,985,*
Jul-05-2014,500096,165,985,*
Jul-06-2014,500096,165,985,*
Jul-07-2014,500096,165,985,*
Jul-08-2014,500096,165,985,*
Jul-09-2014,500096,165,985,*
Jul-10-2014,500096,165,985,*
Jul-11-2014,500096,165,985,*
Jul-12-2014,500096,165,985,*
Jul-13-2014,500096,165,985,*
Jul-14-2014,500096,165,985,*
Jul-15-2014,500096,165,985,*
Jul-16-2014,500096,165,985,*
Jul-17-2014,500096,165,985,*
Jul-18-2014,500096,165,985,*
Jul-19-2014,500096,165,985,*
Jul-20-2014,500096,165,985,*
Jul-21-2014,500096,165,985,*
Jul-22-2014,500096,165,985,*
Jul-23-2014,500096,165,985,*
Jul-24-2014,500096,165,985,*
Jul-25-2014,500096,165,985,*
Jul-26-2014,500096,165,985,*
Jul-27-2014,500096,165,985,*
Jul-28-2014,500096,165,985,*
Jul-29-2014,500096,165,985,*
Jul-30-2014,500096,165,985,*
Jul-31-2014,500096,165,985,*
Aug-01-2014,500096,165,985,*
Aug-02-2014,500096,165,985,*
Aug-03-2014,500096,165,985,*
Aug-04-2014,500096,165,985,*
Aug-05-2014,500096,165,985,*
Aug-06-2014,500096,165,985,*
Aug-07-2014,500096,165,985,*
Aug-08-2014,500096,165,985,*
Aug-09-2014,500096,125,800,*
Aug-10-2014,500096,125,800,*
Aug-11-2014,500096,125,800,*
Aug-12-2014,500096,125,800,*
Aug-13-2014,500096,125,800,*
Aug-14-2014,500096,125,800,*
Aug-15-2014,500096,125,800,*
Aug-16-2014,500096,125,800,*
Aug-17-2014,500096,125,800,*
Aug-18-2014,500096,125,800,*
Aug-19-2014,500096,125,800,*
Aug-20-2014,500096,125,800,*
Aug-21-2014,500096,125,800,*
Aug-22-2014,500096,125,800,*
Aug-23-2014,500096,125,800,*
Aug-24-2014,500096,125,800,*
Aug-25-2014,500096,125,800,*
Aug-26-2014,500096,125,800,*
Aug-27-2014,500096,125,800,*
Aug-28-2014,500096,125,800,*
